0,PIH,"1347 Property Insurance Holdings, Inc.",42903835.2,Finance,Property-Casualty Insurers
1,FLWS,"1-800 FLOWERS.COM, Inc.",645855221.3,Consumer Services,Other Specialty Stores
2,FCCY,1st Constitution Bancorp (NJ),149084164.85,Finance,Savings Institutions
3,SRCE,1st Source Corporation,1219728113.12,Finance,Major Banks
4,VNET,"21Vianet Group, Inc.",410024701.8,Technology,"Computer Software: Programming, Data Processing"
5,TWOU,"2U, Inc.",1778204869.05,Technology,Computer Software: Prepackaged Software
6,JOBS,"51job, Inc.",953844007.6,Technology,Diversified Commercial Services
7,CAFD,8point3 Energy Partners LP,1020828298.8,Public Utilities,Electric Utilities: Central
8,EGHT,8x8 Inc,1354899286.2,Public Utilities,Telecommunications Equipment
9,AVHI,"A V Homes, Inc.",379300779.2,Capital Goods,Homebuilding
10,SHLM,"A. Schulman, Inc.",1008955919.75,Basic Industries,Major Chemicals
11,AAON,"AAON, Inc.",1858239090.2,Capital Goods,Industrial Machinery/Components
12,ABAX,"ABAXIS, Inc.",1110320400.0,Capital Goods,Industrial Machinery/Components
13,ABEO,Abeona Therapeutics Inc.,199797840.0,Health Care,Major Pharmaceuticals
14,ABEOW,Abeona Therapeutics Inc.,0.0,Health Care,Major Pharmaceuticals
15,ABIL,Ability Inc.,63875232.16,Finance,Business Services
16,ABMD,"ABIOMED, Inc.",5256504518.2,Health Care,Medical/Dental Instruments
17,AXAS,Abraxas Petroleum Corporation,344891655.785,Energy,Oil & Gas Production
18,ACIU,AC Immune SA,717932704.32,Health Care,Major Pharmaceuticals
19,ACIA,"Acacia Communications, Inc.",2044052049.2,Technology,Semiconductors
20,ACTG,Acacia Research Corporation,302780280.0,Miscellaneous,Multi-Sector Companies
21,ACHC,"Acadia Healthcare Company, Inc.",3986289182.72,Health Care,Medical Specialities
22,ACAD,ACADIA Pharmaceuticals Inc.,4478727323.14,Health Care,Major Pharmaceuticals
23,ACST,"Acasti Pharma, Inc.",12640204.84,Health Care,Major Pharmaceuticals
24,AXDX,"Accelerate Diagnostics, Inc.",1357055531.35,Capital Goods,Biotechnology: Laboratory Analytical Instruments
25,XLRN,Acceleron Pharma Inc.,1121826069.16,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
26,ANCX,Access National Corporation,288667607.88,Finance,Savings Institutions
27,ARAY,Accuray Incorporated,451790323.15,Health Care,Medical/Dental Instruments
28,ACRX,"AcelRx Pharmaceuticals, Inc.",154134886.0,Health Care,Major Pharmaceuticals
29,ACET,Aceto Corporation,460439099.89,Health Care,Other Pharmaceuticals
30,AKAO,"Achaogen, Inc.",892020256.0,Health Care,Major Pharmaceuticals
31,ACHN,"Achillion Pharmaceuticals, Inc.",557825470.32,Health Care,Major Pharmaceuticals
32,ACIW,"ACI Worldwide, Inc.",2581535842.25,Technology,Computer Software: Prepackaged Software
33,ACRS,"Aclaris Therapeutics, Inc.",836986018.05,Health Care,Major Pharmaceuticals
34,ACNB,ACNB Corporation,180104898.6,Finance,Major Banks
35,ACOR,"Acorda Therapeutics, Inc.",1264613912.5,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
36,ATVI,"Activision Blizzard, Inc",35389436313.06,Technology,Computer Software: Prepackaged Software
37,ACTA,Actua Corporation,471007332.0,Technology,EDP Services
38,ACXM,Acxiom Corporation,2209982186.29,Technology,EDP Services
39,ADMS,"Adamas Pharmaceuticals, Inc.",390627763.33,Health Care,Major Pharmaceuticals
40,ADMP,Adamis Pharmaceuticals Corporation,77165777.975,Health Care,Major Pharmaceuticals
41,ADAP,Adaptimmune Therapeutics plc,150080043.64,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
42,ADUS,Addus HomeCare Corporation,390332209.05,Health Care,Medical/Nursing Services
43,AEY,"ADDvantage Technologies Group, Inc.",18747321.3265,Consumer Services,Office Equipment/Supplies/Services
44,IOTS,Adesto Technologies Corporation,58861813.8,Technology,Semiconductors
45,ADMA,ADMA Biologics Inc,61469754.57,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
46,ADBE,Adobe Systems Incorporated,59309180139.0,Technology,Computer Software: Prepackaged Software
47,ADTN,"ADTRAN, Inc.",1045598543.7,Public Utilities,Telecommunications Equipment
48,ADRO,"Aduro Biotech, Inc.",755799975.0,Health Care,Major Pharmaceuticals
49,AAAP,Advanced Accelerator Applications S.A.,1557769619.07,Health Care,Major Pharmaceuticals
50,ADES,"Advanced Emissions Solutions, Inc.",233663735.7,Basic Industries,Major Chemicals
51,AEIS,"Advanced Energy Industries, Inc.",2468148547.64,Capital Goods,Industrial Machinery/Components
52,AMD,"Advanced Micro Devices, Inc.",12258078277.54,Technology,Semiconductors
53,ADXS,"Advaxis, Inc.",369925236.46,Health Care,Major Pharmaceuticals
54,ADXSW,"Advaxis, Inc.",0.0,Health Care,Major Pharmaceuticals
55,ADVM,"Adverum Biotechnologies, Inc.",118897767.75,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
56,MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,1210000.0,,
